"date","time","sensor_41","datetime"
2012-06-21,"0000",64,2012-06-21
2012-06-22,"0000",62,2012-06-22
2012-06-23,"0000",60,2012-06-23
2012-06-24,"0000",60,2012-06-24
2012-06-25,"0000",64,2012-06-25
2012-06-26,"0000",65,2012-06-26
2012-06-27,"0000",62,2012-06-27
2012-06-28,"0000",59,2012-06-28
2012-06-29,"0000",56,2012-06-29
2012-06-30,"0000",53,2012-06-30
2012-07-01,"0000",52,2012-07-01
2012-07-02,"0000",50,2012-07-02
2012-07-03,"0000",50,2012-07-03
2012-07-04,"0000",51,2012-07-04
2012-07-05,"0000",44,2012-07-05
2012-07-06,"0000",43,2012-07-06
2012-07-07,"0000",41,2012-07-07
2012-07-08,"0000",38,2012-07-08
2012-07-09,"0000",37,2012-07-09
2012-07-10,"0000",36,2012-07-10
2012-07-11,"0000",34,2012-07-11
2012-07-12,"0000",32,2012-07-12
2012-07-13,"0000",31,2012-07-13
2012-07-14,"0000",29,2012-07-14
2012-07-15,"0000",29,2012-07-15
2012-07-16,"0000",28,2012-07-16
2012-07-17,"0000",29,2012-07-17
2012-07-18,"0000",28,2012-07-18
2012-07-19,"0000",29,2012-07-19
2012-07-20,"0000",28,2012-07-20
2012-07-21,"0000",27,2012-07-21
2012-07-22,"0000",26,2012-07-22
2012-07-23,"0000",24,2012-07-23
2012-07-24,"0000",25,2012-07-24
2012-07-25,"0000",26,2012-07-25
2012-07-26,"0000",25,2012-07-26
2012-07-27,"0000",24,2012-07-27
2012-07-28,"0000",22,2012-07-28
2012-07-29,"0000",21,2012-07-29
2012-07-30,"0000",21,2012-07-30
2012-07-31,"0000",21,2012-07-31
2012-08-01,"0000",20,2012-08-01
2012-08-02,"0000",19,2012-08-02
2012-08-03,"0000",19,2012-08-03
2012-08-04,"0000",16,2012-08-04
2012-08-05,"0000",16,2012-08-05
2012-08-06,"0000",16,2012-08-06
2012-08-07,"0000",16,2012-08-07
2012-08-08,"0000",16,2012-08-08
2012-08-09,"0000",15,2012-08-09
2012-08-10,"0000",15,2012-08-10
2012-08-11,"0000",14,2012-08-11
2012-08-12,"0000",13,2012-08-12
2012-08-13,"0000",13,2012-08-13
2012-08-14,"0000",12,2012-08-14
